"标题","摘要","作者","链接","发表时间","","",""
"保湿性高分子化合物","摘要：本发明系关於(1)具有含多分支多醣衍生物之构成单位(但,多分支多醣衍生物中的羟基(OH)可由OR(R表示氢原子、碳数1~30的烃、或具有杂原子的碳数1~30的烃)取代)及未含多分支多醣衍生物之构成单位为特徵的保湿性高分子性化合物、(2)含有0.1~99.9质量%的该高分子化合物之赋予皮肤滋润、且显示适度黏度与溶解性之皮肤外用剂、(3)含有该皮肤外用剂的化妆料⊙","昭和电工股份有限公司","https://www.wanxiangyun.net/search/detail?id=tw20050109460","2006","","",""
"皮肤微生物调饰之方法与局部组成物","摘要：揭示一种方法。该方法一般用於调饰皮肤微生物。该方法包括施处一局部组成物至受试者皮肤。也揭示一局部组成物。该局部组成物可针对该方法来使用。该局部组成物包括一微生物族群、或获取自该微生物族群的成分、或其组合。该微生物族群一般系棒状杆菌属物种(Corynebacteriumspecies)。该棒状杆菌物种包括至少约90%(选择性地约97%)与16S rRNA序列(SEQ ID NO：1)具一致性的序列。 A method is disclosed. The method is generally useful for modifying a skin microbiome. The method comprises administering a topical composition to a subject’s skin. A topical composition is also disclosed. The topical composition may be used for the method. The topical composition comprises a population of microorganisms, a component obtained from the population of microorganisms, or a combination thereof. The population of microorganisms is generally aCorynebacteriumspecies. TheCorynebacteriumspecies comprises at least about 90%, optionally at least about 97%, sequence identity to a 16S rRNA sequence (SEQ ID NO: 1).","美商通路实业集团国际公司","https://www.wanxiangyun.net/search/detail?id=tw20180142731","2019","","",""
"用来抑制经活化受体之胜肽及其於化妆或医药组成物中之用途","摘要：本发明关於通式(I)R1-Wn-Xm-AA1-AA2-AA3-AA4-AA5-AA6-Yp-Zq-R2之胜肽、包含该胜肽之化妆组合物、该胜肽之制备方法及其在治疗及/或预防呼吸气道之搔痒、发炎、疼痛、疾病及/或病症之用途。sumtd2_G2>。","利波塔克股份有限公司","https://www.wanxiangyun.net/search/detail?id=tw20120140781","2013","","",""
"含有生育酚衍生物、抗坏血酸衍生物及具有脂 构造之界面活性剂的皮肤外用剂","摘要：本发明系关於於一种皮肤外用剂，其特徵为含有(A)生育酚甘胺酸酯类、(B)坏血酸–2–磷酸酯类、与特定量的(C)具有酯 构造之阴离子性界面活性剂。本发明的皮肤外用剂(含化妆料)，不仅可同时含有生育酚甘胺酸酯类及坏血酸类，亦可提高生育酚甘胺酸酯类的安定性，可防止经时性的用剂着色(含混浊)及／或沈淀的发生，其效能效果可经长时间亦可有效地发挥。","昭和电工股份有限公司","https://www.wanxiangyun.net/search/detail?id=tw20050112429","2005","","",""
"瘦身用皮肤外用剂及含有其之化妆料","摘要：本发明系关於提供含有优良皮肤亲和性及经皮吸收性、具有促进脂肪代谢之作用的肉毒硷衍生物，作为促进全身或局部之皮下脂肪组织的脂肪代谢之脂肪分解促进剂作用，并消除、抑制或防止肥胖之瘦身用皮肤外用剂及化妆料作为课题。本发明的瘦身用皮肤外用剂系以含有特定肉毒硷衍生物作为特徵，且除含有上述特定的肉毒硷衍生物以外亦含有其他瘦身成分，或含有上述特定肉毒硷衍生物以外的护肤成分为佳。094118169-p01.bmp","昭和电工股份有限公司","https://www.wanxiangyun.net/search/detail?id=tw20050118169","2006","","",""
"重构植物材料及其用于包装、包裹和食品器具的用途","摘要：本发明涉及用于包裹食品的基于植物的包装纸。所述植物(原料)可以是果实、芳草、药用植物、茶、蔬菜和/或香料。本发明还涉及用于生产所述包装纸的方法、其用于包裹食品的用途或其用作包装材料的用途。","SWM卢森堡有限公司","https://www.wanxiangyun.net/search/detail?id=cn201580023561","2017","","",""
"有害生物防治组成物及有害生物之防治方法","摘要：本发明系提供一种有害生物防治组成物,其系含有式(1):[式中,各记号表示说明书中记载的定义]所示之化合物或其N-氧化物,与由新菸硷系化合物之群、合成除虫菊酯系化合物之群、苯基吡唑系化合物之群、巨环内酯系化合物之群、二醯胺系化合物之群与由派灭净、三氟甲吡醚、百利普芬、螺虫乙酯、氟啶虫胺腈及flupyradifurone所成之杀虫性化合物之群所成之群选出的1种以上化合物,其系对有害生物具有优异的防治效力之有害生物防治组成物。","住友化学股份有限公司","https://www.wanxiangyun.net/search/detail?id=tw20140103708","2014","","",""
"SKIN CARES COMPRISING THE FLESH OF THORNY ROSE","摘要：本发明公开了一种含有玫瑰果肉的护肤品，其中所述成分包括（按重量百分比计）护肤品的基本成分90-99%、玫瑰果肉0.5-5%、金缕梅、芦荟和洋甘菊提取物0.5-5%。玫瑰果肉含有黄酮类、有机酸、香豆素、甾醇、三萜类、萜烯类、皂素蛋白质、糖类、脂肪油、挥发油和苏氨酸、缬氨酸、精氨酸、组氨酸、蛋氨酸、苯丙氨酸和赖氨酸等17种氨基酸。","TIANJIN YU MEI JING GROUP CO","https://www.wanxiangyun.net/search/detail?id=hk20080100907","2008","","",""
"保湿嫩肤洁面乳及其制备方法","摘要：本申请涉及化妆品的技术领域,具体公开了一种保湿嫩肤洁面乳及其制备方法。保湿嫩肤洁面乳包括极大螺旋藻提取物;生物糖胶 1;白薇提取物;清洁剂;乳化剂;溶剂;其制备方法为:1),原料预处理;1 1),将溶剂加热至83 88℃,得第一处理物;1 2),将乳化剂搅拌加热至83 88℃,得第二预处理物;2),将第一处理物加入到第二预处理物中,边搅拌边加热至83 88℃,保温50 70分钟,得第二处理物;3),将第二处理物降温至48 53℃,加入清洁剂,得第三处理物;4),将第三处理物降温至40 45℃,将极大螺旋藻提取物、生物糖胶 1、白薇提取物一起加入第三处理物中,得保湿嫩肤洁面乳。本申保湿嫩肤洁面乳具有较佳的多重护肤效果的优点。","广州市爱百伊生物技术有限公司","https://www.wanxiangyun.net/search/detail?id=cn202011059424","2020","","",""
"一种抑菌护理液及其制备方法","摘要：本发明公开了一种抑菌护理液及其制备方法,属于消毒抑菌技术领域。本发明以净洗剂、营养剂、抗菌植物提取液和保湿剂作为主要有效成分,对私处进行有效清洁和抑菌,在不破坏私处原有健康生态环境的前提下达到预防、治疗的效果;同时为私处提供营养成分,起到养护的作用,改善私处肌肤状态,使得整个抑菌护理液功效全面,适应的人群范围更加广泛。","成都润兴消毒药业有限公司","https://www.wanxiangyun.net/search/detail?id=cn201811336675","2019","","",""
"SKIN-BEAUTIFYING COSMETIC","摘要：本发明的目的是改善皮肤美容剂的稳定性和物理性能方面的缺陷，获得对皮肤安全、效果优异的皮肤美容化妆品。成分：预先制备以金缕梅素为主要成分的金缕梅提取物。提取物的重量大于等于50%具有高酪氨酸酶抑制作用，对皮肤稳定安全。配制0.0001-20wt%可制备出有效的美容化妆品关于提取物。","NOEVIR KK","https://www.wanxiangyun.net/search/detail?id=jp19910012895","1992","","",""
"一种基于天然植物原料的祛痘组合物及其应用","摘要：本发明涉及一种基于天然植物原料的祛痘组合物及其在治疗和预防人的痤疮及痤疮印痕方面的应用。其目的是弥补现有治疗痤疮的产品在功效和/或综合品质方面欠佳的缺陷。本发明针对引起痤疮发生和发展的关键因素及痤疮诱发的皮肤问题,提供一种安全有效的具有两到六种功能的天然祛痘组合物及其制备技术综合性地治疗痤疮。所说的两种功能为:抗菌、消炎;所说的六种功能为:抗菌、消炎、平衡皮脂分泌、抗毛囊皮脂腺导管异常角化及堵塞、修复受损皮肤、和祛除痤疮印痕。本发明的产品在安全性、功效、综合品质、及性价比方面均具有强劲的市场竞争力。本发明可用于开发治疗和预防人的痤疮及痤疮印痕的药品、化妆品、及个人护理产品等。","昆明皕凯科技有限公司","https://www.wanxiangyun.net/search/detail?id=cn201410832959","2015","","",""
"【Title of corresponding document：CN101384241A】 Agent for promoting vitamin C transporter production","摘要：本发明旨在提供一种具有促进维生素C转运体产生作用的物质。一种用于促进维生素C转运体生产的制剂，其作为活性成分包含马鲁宾、苯甲酸胆固醇酯、乌加非林、拉菲林、乙酸香叶酯、橙花醇、二氢茉莉酮、乙酸碳丙烯酯、愈创木烯、二氢松柏醇、甜菊糖苷、DL-α-芘、马鞭草素、1-庚醇、4-羟基香豆素、胆酸、，油酸胆甾醇酯、fraxin或bergaptol，或木兰、杏仁、绣球、葡萄柚、麦冬、蛇床子、防风、鱼腥草、洋甘菊、钩藤、金缕梅、桑椹、米糠或田马尾的提取物。","无","https://www.wanxiangyun.net/search/detail?id=hk20090105883","2009","","",""
"复合式保养膜组合包","摘要：本创作系关於一种复合式保养膜组合包，其包括：一保养膜，具有效成分，该有效成分系以冷冻乾燥之形式附着於该保养膜上；以及一浓缩精华液，其中该冷冻乾燥保养膜系保存於一真空避光包装中。本创作之保养膜能广泛地应用於面膜、眼膜、颈膜、胸膜、美肤膜(或美体敷膜)或纤体膜等用於脸部或身体保养用途。","生立生物科技股份有限公司","https://www.wanxiangyun.net/search/detail?id=tw20050210129u","2005","","",""
"【Title of corresponding document：CN101912352A】 Agent for promoting vitamin c transporter production","摘要：本发明旨在提供一种具有促进维生素C转运体产生作用的物质。一种用于促进维生素C转运体生产的制剂，其作为活性成分包含马鲁宾、苯甲酸胆固醇酯、乌加非林、拉菲林、乙酸香叶酯、橙花醇、二氢茉莉酮、乙酸碳丙烯酯、愈创木烯、二氢松柏醇、甜菊糖苷、DL-α-芘、马鞭草素、1-庚醇、4-羟基香豆素、胆酸、，油酸胆甾醇酯、fraxin或bergaptol，或木兰、杏仁、绣球、葡萄柚、麦冬、蛇床子、防风、鱼腥草、洋甘菊、钩藤、金缕梅、桑椹、米糠或田马尾的提取物","无","https://www.wanxiangyun.net/search/detail?id=hk20110100734","2011","","",""
"【Title of corresponding document：CA2076467A1】 SKIN WHITENING PREPARATIONS","摘要：一种化妆品褪色成分，用于局部涂抹，使皮肤光亮，减少皮肤斑点。该组合物包含生理有效量的类黄酮（优选纯化形式的0.1%至约30重量%）和选自抗坏血酸或其合适衍生物的多巴醌还原剂。该类黄酮可从由千叶阿喀琉叶、小烛台、鼠尾草、金缕梅、桑椹及其组合组成的组中制备。可以添加防晒霜以抑制生育酚衍生物的酪氨酸酶活性. Patents 6 4956B","FISCHER PHARMA LTD","https://www.wanxiangyun.net/search/detail?id=gb19920017821","1992","","",""
"Flower bud extraction composition and method for preparing the same","摘要：本发明涉及一种化妆品材料组合物，包括两种或两种以上的花蕾提取物，其选自包括山茶、牡丹、百合、梨属植物、莲藕、金缕梅、川金盏花、洋甘菊水、，以及作为活性成分的木兰。本发明涉及一种化妆品材料组合物及其制造方法，所述化妆品材料组合物包括花素，所述花素是花芽状态下最常用的植物激素。本发明可提供具有美白、抗炎、舒缓等效果的化妆品，其刺激性和副作用较少，以确保稳定性","NATURE IN LAB INC","https://www.wanxiangyun.net/search/detail?id=kr20180054316","2019","","",""
"【Title of corresponding document：JP2000119156A】 SKIN LOTION","摘要：本发明的目的在于获得一种能够改善皮肤美白剂原有的效果，并具有稳定优异的皮肤美白效果的皮肤乳液。解决方案：本护肤液含有（A）皮肤美白剂，（B）茯苓、胡萝卜、Althaea officinals、山金车、芦荟、荨麻、小茴香、金缕梅、黄芩、黄柏、金丝桃、洋甘菊、茵陈蒿、猕猴桃、黄瓜、木犀草、，苦参、葡萄、金钱草、紫草、山楂、地黄、紫苏、芍药、白桦、木贼、紫椴、鼠尾草、桑椹等，（C）从抗炎剂和抗氧化剂中选择的一种或多种药物，以及（D）紫外线保护剂","KOSE CORP","https://www.wanxiangyun.net/search/detail?id=jp19980291798","2000","","",""
"一种针对精油成分的微精分离技术","摘要：本发明公开了一种针对精油成分的微精分离技术,它包括:1)将复方精油加入到器皿中;2)向器皿中加入精华液;3)向器皿中添加表面活性剂;4)将器皿中的混合液体搅拌均匀。其中,精华液与复方精油的体积比为100∶(22~26),复方精油与表面活性剂的体积比为(82~122):100。添加表面活性剂可以产生乳化反应,降低精油的表面张力,使得各种精油之间的互溶性更好,精油与精华液之间的互溶性也更好,极大的增强复方精油的亲肤性,提高皮肤对各种精油的有益成分的吸收,增进精油的疗效;同时,还能避免各种精油覆盖在皮肤表面,影响皮肤细胞的有氧呼吸,而且互溶后的复方精油的刺激源浓度被剥离的很低,可以极大降低一些刺激源对皮肤的伤害。","广州市一卡拉康美生物科技有限公司","https://www.wanxiangyun.net/search/detail?id=cn201310304413","2013","","",""
"一种防黏连的蚕丝面膜","摘要：本实用新型公开了一种防黏连的蚕丝面膜,包括面膜本体,所述面膜本体外壁设有第一离型纸,所述面膜本体内壁设有第二离型纸,所述面膜本体、所述第一离型纸和所述第二离型纸均开设有眼孔、鼻孔和嘴孔,所述面膜本体包括蚕丝面料层,所述蚕丝面料层外壁固定设有无纺布层,所述无纺布层外壁固定设有丝胶蛋白层,所述丝胶蛋白层外壁固定设有精华液层。有益效果:能够有效的防止在敷面膜过程中的精华液蒸发造成的损耗,从而能够使得精华液能够更多的被皮肤吸收,而且能够便于将折叠在包装袋内的面膜舒展开。","哈尔滨源素生物工程有限公司","https://www.wanxiangyun.net/search/detail?id=cn202022585210","2021","","",""
"一种皮肤护理材料及其制备方法","摘要：本发明公开了一种皮肤护理材料的制备方法,其特征在于,包括如下步骤:步骤S1、乙烯基尿囊素的制备,步骤S2、共聚物的制备,步骤S3、制孔,步骤S4、功能中草药提取液的制备,步骤S5、皮肤护理材料的功能化。本发明还公开了根据所述一种皮肤护理材料的制备方法制备而成的皮肤护理材料。本发明公开的皮肤护理材料生物相容性好,制备原料来源丰富,价格低廉,对皮肤护理效果显著,抗菌抗感染效果佳,对皮肤刺激性小,无毒无害,无过敏性反应,透气性优异,具有较高的经济价值、社会价值和生态价值。","胡本玲","https://www.wanxiangyun.net/search/detail?id=cn201910745071","2019","","",""
"一种可促进皮肤微生态平衡的组合物及其制备方法","摘要：本发明公开了一种可促进皮肤微生态平衡的组合物及其制备方法,该组合物以皮肤益生元α-葡聚糖寡糖、果寡糖、β-葡聚糖,植物提取物,酵母提取物及天然抗菌剂明串球菌/萝卜根发酵产物滤液为主要成份。本发明组合物从根本上调节皮肤的微生态平衡,维护皮肤健康,克服了传统化妆品/护肤品治标不治本和易产生副作用的缺陷,同时具有保湿、柔软、紧致的多重修复功效,为解决皮肤问题提供了新的思路。其制备方法简单易行,通过合理控制反应步骤和混合温度,最大程度的保持了各功能组份的活性成份⊙","深圳市金因生物技术有限公司","https://www.wanxiangyun.net/search/detail?id=cn201310469004","2013","","",""
"一种基于私人基因定制修复精华液及其制备方法","摘要：本发明公开了一种基于私人基因定制修复精华液及其制备方法,涉及护肤品技术领域,解决技术问题是如何修复肌肤角质破损且保湿效果良好,该精华液根据私人基因检测进行原料配比,由以下组分重量份制成:透明质酸0.1~5份、甜菜碱0.1~5份、润肤剂5~30份、多元醇5~20份、增稠剂0.1~5份、防腐剂0.5~1份、纤连蛋白1~30份、尿囊素0.05~0.2份、pH调节剂0.1~2份、植物提取物1~10份、溶剂20~80份。本发明产品具有修复肌肤角质破损功效且保湿效果良好。","广州科恩生物技术有限公司","https://www.wanxiangyun.net/search/detail?id=cn201811573421","2019","","",""
"Topical compsn. for lightening skin or skin spots - contg. flavonoid, reducing agent for dopa-quinone and opt. sun protectant, suppressant for tyrosinase activity and tocopherol deriv.","摘要：一个公司。局部使用，用于减轻皮肤和皮肤斑点，如溶液、乳液、凝胶、喷雾或面霜，包含（a）活性amt的组合。类黄酮和（b）活性amt。在多巴醌还原剂中，选择（c）防晒剂，（d）抑制酪氨酸酶活性的剂和/或（e）生育酚衍生物。。（a） 该成分为植物提取物或纯化prepn的0.1-30 wt.%。来自阿喀琉叶、金盏花、鼠尾草、金缕梅和桑树，或甘草（甘草）。（b） 成分为0.1-5 wt.%的抗坏血酸（pref.）、抗坏血酸棕榈酸酯或硬脂酸酯、抗坏血酸磷酸酯Mg或其他生理上可接受的deriv。抗坏血酸。（c） 该组分为0.1-10%的抗UVA、UVB、IR和/或可见光的保护剂，例如辛基甲氧基辛酸酯、丁基甲氧基二苯甲酰甲烷和TiO2。公司。还含有生育酚deriv。以及0.1-5%的曲酸。局部皮肤用化妆品美白剂，续。抗坏血酸或维生素D。还有类黄酮，还有opt。与其他组分、稀释剂、奶油基质和/或凝胶形成剂一起，本发明提出了权利要求。优点-皮肤变白，并在很大程度上防止皮肤上形成新的棕色斑点。这些成分具有通配符效应","FISCHER PHARMA LTD","https://www.wanxiangyun.net/search/detail?id=de19924227806","1993","","",""
"PREPARATION FOR EXTERNAL USE FOR SKIN","摘要：获得一种皮肤外用制剂，其皮肤漂白效果显著提高，稳定性和安全性也优异。解决方案：该皮肤外用制剂包含至少一种植物提取物，这些提取物选自桑椹、黄芩、蔷薇属药用植物、洋甘菊、芦荟（或芦荟属植物、芦荟属植物、芦荟属植物）、金缕梅、七叶树、，多花蔷薇或与之密切相关的物种（蔷薇科）、丹参、蓝莓、日本异香草（或毛果异香草）、甘草（或乌拉尔甘草）、虎耳草、刺玫和/或火棘，以及糖基-L-抗坏血酸的酰化衍生物","SHISEIDO CO LTD
									;,YAMAMOTO ITARU","https://www.wanxiangyun.net/search/detail?id=jp19990347082","2001","","",""
"防止脱色、晕染、沾杯的口红雨衣及其制备方法","摘要：本发明公开了一种防止脱色、晕染、沾杯的口红雨衣及其制备方法,所述口红雨衣包括硅烷类物、硅氧烷交联聚合物、双磷脂酰甘油、透明质酸和/或其钠盐、角鲨烷;其中所述硅烷类物包括二甲基甲硅烷基化硅石、三氟丙基环四硅氧烷、三氟丙基环五硅氧烷、二苯基甲硅烷氧基苯基聚三甲基硅氧烷、全氟辛基三乙氧基硅烷中的至少一种;所述硅氧烷交联聚合物包括三氟丙基聚二甲基硅氧烷/三氟丙基二乙烯基聚二甲基硅氧烷交联聚合物、聚二甲基硅氧烷/苯基乙烯基聚二甲硅氧烷交联聚合物中的至少一种。本发明的口红雨衣呈无色无味凝胶状,可以和任何唇膏类产品搭配,不会影响原本唇色,形成持久不易脱色的唇彩。","刘科勇","https://www.wanxiangyun.net/search/detail?id=cn202010341384","2020","","",""
"分区域面膜","摘要：本发明公开了一种分区域面膜,其技术方案要点是:包括面膜基布,面膜基布上吸附有营养液,面膜基布包括额头部、眼周部、脸颊部、鼻部和唇周部,额头部、眼周部、脸颊部、鼻部和唇周部之间通过硅胶粘接;额头部、眼周部、脸颊部、鼻部和唇周部上分别吸附有营养液H、营养液E、营养液F、营养液N和营养液M,营养液H、营养液E、营养液F、营养液N和营养液M分别具有对人体面部的额头、眼周、脸颊、鼻和唇周肌肤的护理功效,其优点是便于使用者敷于面部,同时针对面部不同区域的肌肤进行针对性的护理。","北京婼薇乐护肤品有限公司","https://www.wanxiangyun.net/search/detail?id=cn201810754786","2018","","",""
"晒后卸妆修复湿巾整理液","摘要：本发明提供一种用在湿巾上可以晒后卸妆修复的整理液。该整理液由表面活性剂、天然提取物、助剂、稳定剂、保湿润肤剂、修复剂、防腐剂等组成,其生产工艺为:常温常压下,将上述组分按照一定的顺序及比例添加到搅拌釜中,搅拌成均一透明的液体即可。该湿巾整理液温和、不刺激、绿色环保、不含EO,长期使用无任何副作用,具有晒后清洁修复肌肤的功效。","天津市中科健新材料技术有限公司","https://www.wanxiangyun.net/search/detail?id=cn201110297942","2013","","",""
"包含微囊化着色剂的局部施用组合物","摘要：本发明提供了一种用于局部施用的变色化妆品或治疗组合物,其包含一种或多种活性物质和一种或多种微囊化着色剂,在施用于皮肤之后,所述组合物提供变色效应,其指示所述活性物质从所述组合物至所述皮肤上的输送和/或赋予所述皮肤可见的美学效应。","塔格拉生物科技有限公司","https://www.wanxiangyun.net/search/detail?id=cn200980127181","2011","","",""
"含磷酸三酯之化粧品组合物","摘要：本发明为关於一种化粧组合物,含有(A)式(1)磷酸三酯[式中R1及R2为C1-8烷基,R3为C1-4烷基,X、Y及Z为C2-3伸烷基,1及m为1~10,n为1~10]及(B)皮肤活性成分。此化粧组合物具有优越之保湿效果,皮肤粗之预防改善效果,皮肤紧绷、弹性衰退、颜色暗澹等之预防改善效果,过剩皮脂、菌或角化异常而起之毛穴粗或粉刺等之预防改善效果,皱纹形成之预防改善效果,黑斑雀斑。","花王股份有限公司","https://www.wanxiangyun.net/search/detail?id=tw19980100981","2002","","",""
"生活用纸","摘要：一种生活用纸,其包括基纸层及形成于基纸层上独立的第一化药层和第二化药层;该第一化药层位于生活用纸的最外表面;该第一化药层中含有热感剂,该第二化药层中含有具有滋润、保养、护理皮肤的功效的功能化药。本发明的生活用纸采用独立的第一化药层和第二化药层,使热感剂集中分布,温感效果好,在达到同样的温感效果的同时热感剂使用量较少。此外,在皮肤上进行擦拭的过程中,热感剂转移至皮肤上,皮肤表层迅速升温,表层的毛孔打开,皮肤表面的角质层软化,利于功能化药通过毛孔和表层皮肤,对功能化药更多的吸收,提高功能化药的有效利用率。","金红叶纸业集团有限公司","https://www.wanxiangyun.net/search/detail?id=cn201310448069","2015","","",""
"一种护肤品定制机及应用于该定制机的护肤品配方及加工方法","摘要：本发明涉及一种护肤品定制机,包括机架、料盘、使料盘转动的料盘驱动机构、用于储存物料的活塞式料筒和控制机构,所述的活塞式料筒安放在通孔内,活塞式料筒上设有出料口,其特征在于:还包括设置在料盘上方机架上的挤压出料机构和设置在料盘上的物料搅拌机构;所述的挤压出料机构包括能够升降的丝杠和驱动丝杠升降的丝杠驱动部分;料盘的下方放置接料杯,接料杯位置在丝杠的延伸线上;所述的物料搅拌机构包括搅拌电机和设置在搅拌电机输出轴下端的搅拌刀头,所述的搅拌电机设置在料盘上的其中一个通孔内,且通过复位部分与料盘连接;还涉及应用于该定制机的护肤品配方及加工方法。与现有技术相比较具有使用效果好的特点。","淄博林森生物制品有限公司","https://www.wanxiangyun.net/search/detail?id=cn201510529990","2015","","",""
"冷制皂超声生产工艺","摘要：本发明涉及采用超声技术制备冷制皂的方法。本发明的方法极大地缩短了制备冷制皂的时间,提高了生产效率。","吴妙娴
									;,广东雅威生物科技有限公司","https://www.wanxiangyun.net/search/detail?id=cn201110278354","2013","","",""
"【Title of corresponding document：CN102048665A】 Skin whitening preparation for external use","摘要：本发明提供一种外用皮肤美白剂，其能够防止由于暴露于紫外线而产生的红斑。所述外用皮肤美白剂的特征在于，其包含橄榄叶提取物水解物和抗坏血酸2-葡萄糖苷，并且用于防止由于暴露于紫外线而导致的红斑","无","https://www.wanxiangyun.net/search/detail?id=hk20110106718","2012","","",""
"一种基于交流电致发光器件的光疗护肤仪","摘要：本实用新型提供一种基于交流电致发光器件的光疗护肤仪,其包括:电致发光器件、设置于所述电致发光器件上表面的装饰外壳、及设置于所述电致发光器件下表面的可拆卸的护肤膜;还包括:与所述电致发光器件连接的交流电源;所述电致发光器件为有机电致发光器件或无机电致发光器件;所述电致发光器件为三明治型结构的柔性电致发光器件。该光疗护肤仪中电致发光器件采用交流电源驱动,器件工作产生振动按摩效果。同时,护肤仪通过电致发光器件中不同的发光材料产生不同波长的光,能对皮肤起到不同的护理效果。","北京大学深圳研究生院","https://www.wanxiangyun.net/search/detail?id=cn201921982652","2020","","",""
"护肤组合物及应用其的纸巾","摘要：一种护肤组合物,其含有防晒剂、清凉剂、表面活性剂及皮肤护理剂,其中防晒剂、清凉剂、表面活性剂、皮肤护理剂的质量比为0.01-30:0.01-30:0.1-20:1-70;该防晒剂为天然防晒剂、人工合成的防晒剂、或是天然与人工合成的防晒剂的混合;该清凉剂为天然清凉剂、人工合成清凉剂、或是天然与人工合成清凉剂的组合物,该天然清凉剂包括有薄荷油、薄荷脑、樟脑、桉叶油、菊花提取液、冰片,该人工合成清凉剂包括有薄荷醇、薄荷酮、薄荷酯、薄荷盐及酰胺类化合物。本发明还提供一种应用上述护肤组合物的纸巾。本发明的纸巾既具有去汗吸湿功能,防晒功能,同时又给使用者带来清凉的感觉⊙","金红叶纸业集团有限公司","https://www.wanxiangyun.net/search/detail?id=cn201310014278","2013","","",""
"祛痘淡印组合物及应用其的纸巾","摘要：一种祛痘淡印组合物,其含有至少一种天然成份的祛痘剂、至少一种天然成份的淡印剂、至少一种天然成份的抗菌消炎剂,其中祛痘剂、淡印剂、抗菌消炎剂的质量比为0.1-60:0.1-60:0.01-30。本发明还提供一种应用上述祛痘淡印组合物的纸巾。本发明的纸巾既具有去汗吸湿功能,同时能改善使用者的肌肤状况,祛除痘痘,淡化痘印,去粉刺的功效。","金红叶纸业集团有限公司","https://www.wanxiangyun.net/search/detail?id=cn201310079500","2013","","",""
"MELANOGENESIS INHIBITOR AND SKIN-WHITENING AGENT","摘要：","FANCL CORP","https://www.wanxiangyun.net/search/detail?id=hk20110103906","2011","","",""
"血管收缩剂的皮肤应用","摘要：本发明提供用于调节体温的血管收缩物质的局部皮肤应用,以治疗、预防或延迟麻醉剂引起的低温的发作。同样公开了含有合适的材料和说明书的试剂盒,以及其它实施方式。","O.扎查尔","https://www.wanxiangyun.net/search/detail?id=cn200980155802","2011","","",""
"一种适应不同时节的免洗面膜","摘要：本发明公开了一种适应不同时节使用的免洗面膜,属于面膜领域。该面膜由基础成分和根据不同时节添加的物质组成,该面膜避免了市售面膜仅注重皮肤本身而对外部环境针对性不强的缺陷,制成适应不同时节、不同地域的面膜,达到内外兼护的效果。","湖北未来家园高科技农业股份有限公司","https://www.wanxiangyun.net/search/detail?id=cn201910279803","2019","","",""
"SKIN CARE COSMETIC SET AND APPLICATION METHOD THEREOF","摘要：本发明涉及一种皮肤护理化妆品套装。该护肤化妆品套装包括洗面奶、护肤爽肤水、血清、美白霜和保护乳液。该洗面奶包括橄榄提取物和小麦提取物；该护肤爽肤水包括透明质酸钠、金缕梅提取物和甜菜碱；该血清包括芦荟提取物、大豆提取物、EGF保湿因子和透明质酸钠；该美白霜包括十六醇、凡士林、维生素E和透明质酸钠；该保护乳液包括小麦提取物、甘油、α-双香醇和纳米二氧化钛，还公开了其应用方法。本发明通过组合使用，形成多层护肤层，各护肤层相互配合，使护肤效果更加全面。","LIU YUMEI","https://www.wanxiangyun.net/search/detail?id=us201715679140","2019","","",""
"螺旋藻H11株系提取物作为抗氧化剂的应用及其护肤品","摘要：本发明涉及螺旋藻应用领域,公开了一种螺旋藻H11株系提取物作为抗氧化剂的应用,螺旋藻H11株系保藏号:CCTCC M 2017772。本发明所选的螺旋藻H11株系提取物,其具有强自由基清除能力,作为抗氧化剂生产应用具有开发价值,同时其制备方法显著减少提取物的色素和气味。同时本发明还提供了一种护肤品,以螺旋藻H11株系提取物为抗氧化剂,能够有效地清除自由基,减少和避免自由基对皮肤的损伤。","广州市科能化妆品科研有限公司
									;,中国科学院南海海洋研究所","https://www.wanxiangyun.net/search/detail?id=cn202010611631","2022","","",""
"含有抗坏血酸和/或其盐的外用组合物","摘要：本发明提供一种稳定性和使用感优异的外用组合物。制备一种外用组合物,其含有(A)选自抗坏血酸和抗坏血酸的盐中的至少1种,(B)选自3 O 乙基抗坏血酸、3 O 乙基抗坏血酸的盐和羟基化卵磷脂中的至少1种,以及,(C)聚乙二醇。","日本乐敦制药株式会社","https://www.wanxiangyun.net/search/detail?id=cn201780040059","2019","","",""
"一种含天然植物导入元的化妆品及其制备方法","摘要：本发明的目的在于公开一种含天然植物导入元的化妆品及其制备方法,所述化妆品中含有重量百分比0.05%-5%的天然植物导入元,所述天然植物导入元为香榧挥发油;与现有的产品相比,在化妆品中加入天然植物导入元,克服了化学合成透皮导入剂和部位中草药导入剂易导致过敏的缺陷,与肌肤相容性好,可以促进化妆品中功效成分透过表皮,发挥皮肤护理作用;将香榧果实假种皮作为原料,提取挥发油既节约了资源,又减少了环境的污染,促进了经济的发展,实现本发明的目的。","上海相宜本草化妆品股份有限公司","https://www.wanxiangyun.net/search/detail?id=cn201210019149","2013","","",""
